name,country,img,ingredients,steps
Warm Quinoa Beetroot Salad With Pecans,American,https://c.ndtvimg.com/2024-11/etpsokc_salad_625x300_21_November_24.jpg,"['1 Cup cooked quinoa', '2 medium beetroots', 'Salt to taste', 'Crushed black peppercorns to taste', '2 tbsp olive oil', '10-12 toasted American Pecans', '1½ tbsp oil', '1 tbsp garlic, finely chopped', '2 small onions, cut into quarters and layers separated', '1 small carrot, peeled, halved and sliced', '4 tbsp boiled corn kernels', '2 green chillies, chopped', '1 tbsp sugar', '1 small green capsicum, cut into small triangles', '¼ tsp soy sauce', '¼ tsp vinegar', '1/3 cup spring onion greens', 'Assorted lettuce leaves as required', 'Toasted white sesame seeds to sprinkle']","['Preheat the oven at 180⁰C.', 'Take beetroots in a bowl. Add salt, crushed peppercorns, drizzle olive oil and mix well.', 'Wrap the beetroots in individual aluminium foil pieces and bake for 40-45 minutes.', 'Heat oil in a nonstick wok, add garlic and sauté till it turns golden brown, add the onions, and sauté till golden brown.', 'Add the carrot, corn kernels, green chillies and sauté for 2-3 mins. Add salt, sugar mix well. Add capsicum and mix well.', 'Add the cooked quinoa, soy sauce, vinegar, spring onion green and mix well.', 'Arrange the assorted lettuce leaves on serving plate, add the salad over it.', 'Peel the beetroots and arrange the slices on top. Place American Pecans. Sprinkle the toasted white sesame seeds and serve warm.']"
Pecan Nuts Brownie,American,https://c.ndtvimg.com/2024-11/8pibm1d_pecan-brownie_625x300_20_November_24.jpg,"['300 Gram dark chocolate, roughly chopped', '2 cups butter + for greasing', '2¼ cup refined flour (maida) + for dusting', '6 eggs', '1½ tbsp vanilla essence', '3 cups castor sugar', '½ cup roughly chopped American Pecans', '8-10 American Pecans']","['Preheat oven at 180° C.', 'Grease a cake tin with butter and dust with refined flour.', 'Melt butter and chocolate in a bowl on a double boiler. Allow the mixture to cool down to room temperature.', 'Cream eggs with vanilla essence and castor sugar in another bowl till light and fluffy. Add butter-chocolate mixture and mix well.', 'Fold in flour and mix lightly. Reserve some chopped American Pecans and add the remaining to the mixture and mix well.', 'Pour batter into the prepared cake tin and sprinkle reserved American Pecans on top. Place the whole American Pecans on top and bake for 20-25 minutes.', 'Allow the brownie to cool and demould Cut into squares and serve.']"
Pecan Pesto Penne,American,https://c.ndtvimg.com/2024-11/u0bdois8_penne-pecan_625x300_20_November_24.jpg,"['200 Gram whole wheat penne pasta, boiled', '3 tbsp olive oil', '12-14 cherry tomatoes, halved', 'Salt to taste', '1/4 cup milk', '1/2 tsp red chilli flakes', 'Pecan Pesto:', '6-8 American Pecans', '3/4 cup basil leaves', '3-4 garlic cloves', 'Salt to taste', '4 tbsp parmesan cheese, grated', '3-4 tbsp extra virgin olive oil', 'Garnish:', 'Fresh basil sprig', 'Parmesan shavings', 'Toasted and halved American Pecans']","['Heat olive oil in a non-stick pan, add halved cherry tomatoes and salt and sauté on low heat till they soften. Transfer in a bowl and set aside.', 'To make Pecans Pesto, grind together American Pecans, basil leaves, garlic, salt, parmesan cheese and olive oil to a coarse paste.', 'Add boiled penne and ground paste to a non-stick pan and mix well. Add cherry tomatoes, milk and mix well.', 'Sprinkle red chilli flakes and mix.', 'Transfer into a serving plate, garnish with basil sprig, parmesan shavings and American Pecans and serve hot.']"
Pear And Pecan Salsa With Baked Nachos,American,https://c.ndtvimg.com/2024-11/rloc3lk8_pear_625x300_19_November_24.jpg,"['1 pear', '10-12 American Pecans + for garnish', '½ lemon', 'Salt to taste', '1 tbsp Crushed black peppercorns', '2 green chillies, chopped', '1/2 tsp sugar', '2 tbsp fresh coriander leaves', 'Fresh coriander sprig for garnish', 'Baked nachos for serving']","['Deseed and chop pear. Chop American Pecans.', 'Transfer both in a bowl. Squeeze lemon. Add salt, crushed black peppercorns, green chillies, sugar, coriander and mix well. Mash lightly.', 'Transfer in a serving bowl, garnish with coriander sprig, American Pecans and serve with baked nachos.']"
Roasted Butternut Squash And Pecan Soup,American,https://c.ndtvimg.com/2024-11/p9grsnf8_soup_625x300_19_November_24.jpg,"['400 Gram butternut squash, peeled and roughly sliced', '6-7 garlic cloves', '2 medium onions, roughly chopped', '10-12 American Pecans', 'Salt to taste', 'Crushed black peppercorns to taste', 'fresh thyme sprigs', '1tsbp olive oil', 'madras curry powder', '1/2 lemon', 'Fresh cream to drizzle', 'Fresh flat parsley leaves for garnish', 'Toasted American Pecans for garnish', 'Toasted sourdough bread slices to serve']","['Preheat the oven at 180⁰C.', 'Take oven tray. Add squash, garlic, onions, American Pecans, salt, crushed black peppercorns and thyme. Drizzle olive oil and mix lightly.', 'Bake in preheated oven for 20-25 minutes. Allow to cool.', 'Heat a nonstick pan. Transfer the roasted mixture. Add vegetable stock, madras curry powder and allow to boil. Discard the thyme sprigs.', 'Lower the heat and cook for 5-6 minutes.', 'Grind to a fine and thick mixture with the help of a hand blender.', 'Squeeze lemon and mix well.', 'Transfer in a serving bowl, Drizzle fresh cream, garnish with American Pecans and parsley leaves.', 'Sprinkle crushed black peppercorns and serve hot with toasted sourdough bread slices.']"
Peri Peri Pecan Nuts,American,https://c.ndtvimg.com/2024-11/j4phsfjg_peacan-nut_625x300_20_November_24.jpg,"['2 Cups American Pecans', '1 tbsp oil', 'Peri Peri Spice Mix', '2 tbsp coriander seeds', '1½ tbsp cumin seeds', '½ tsp black peppercorns', '4 dried red chillies, stemmed and broken', '1¼ tbsp dried garlic granules', '2 tbsp dried oregano leaves', '1½ tbsp dried parsley leaves', '1 tbsp dried basil leaves', '1 bay leaf', '¼ tsp citric acid', 'Salt to taste', '1 tbsp dried onion granules']","['To prepared peri peri spice mix, heat a non-stick pan, add coriander seeds, cumin seeds, black peppercorns and dried red chillies and dry roast till fragrant.', 'Transfer into a blender jar and add garlic granules, dried oregano, dried parsley, dried basil leaves, bay leaf, citric acid, salt and dried onion granules and blend to a fine powder.', 'Heat oil in a non-stick wok, add American Pecans and toast for 5-6 minutes on low heat. .', 'Transfer into a large bowl, sprinkle 3 tbsps prepared peri peri spice mix and toss till well combined. Store the remaining peri peri spice mix in an air tight container.', 'Transfer the prepared pecans nuts in a serving bowl and serve as required.']"
Pecan Sandwich,American,https://c.ndtvimg.com/2024-11/5pmk4a5g_peanut_625x300_19_November_24.jpg,"['16 (Toasted) American Pecans', '5-6 Seedless Dates, finely chopped', '100 Gram Goat cheese', '10-15 fresh thyme leaves', 'Crushed black peppercorns to taste', 'Blanched chives as required']","['Take goat cheese in a bowl. Add dates, thyme, crushed black peppercorns and mix well.', 'Take a bowl. Add dates, goat cheese, salt, crushed black peppercorns and thyme and mix well.', 'Fill this mixture in a piping back. Take a piece of American Pecan and pipe the mixture on top. Cover with another American Pecan in order to make a sandwich.', 'Tie the sandwiches with chives and serve.']"
Chickoo Pecan Kulfi,American,https://c.ndtvimg.com/2024-11/b2g6sm1_kulfi_625x300_11_November_24.jpg,"['5-6 chickoos, seeded and roughly chopped with skin', '3-4 American Pecans', '1/4 cup sugar', '2-3 tbsp milk powder', '1/2 tsp green cardamom powder', '3 cups reduced milk', 'Garnish:', 'Chickoo slices as required', 'American Pecans as required']","['Chop 15-20 American Pecans.', 'Transfer remaining American Pecans in a grinder jar and grind coarsely.', 'Add chickoos, sugar, milk powder, green cardamom powder and grind to a fine paste.', 'Transfer the ground paste in a bowl, add half the chopped American Pecans, reduced milk and mix well.', 'Take metal kulfi moulds. Pour the mixture into kulfi moulds Cover them with their lids and freeze for 6-8 hours.', 'Demould and roll in remaining American Pecans.', 'Cut into halves, garnish with chickoo slices, whole American Pecans and serve chilled.']"
Eggless Banana Pancake,American,https://i.ndtvimg.com/i/2015-07/pancake-625_625x350_41435922828.jpg,"['1 Cup all-purpose flour', '1 tbsp sugar', '1 tsp baking powder', 'A pinch of salt', '1 ripe banana, mashed', '1 cup milk', '2 tbsp melted butter or oil']","['In a large mixing bowl, whisk together the flour, sugar, baking powder, and salt.', 'In a separate bowl, mash the ripe banana until smooth.', 'Add the mashed banana, milk, and melted butter or oil to the dry ingredients. Stir until just combined.', 'Heat a griddle or non-stick pan over medium heat. Ladle the batter onto the hot surface, creating small circles.', ""Once you see bubbles forming on the surface, it's time to flip. Cook until both sides are golden brown.""]"
Leftover Rice Pancakes,American,https://c.ndtvimg.com/2023-07/o4pnb5j8_leftover-rice-pancakes_625x300_25_July_23.jpg,"['1 Cup leftover cooked rice', '1 cup all-purpose flour', '1 tbsp granulated sugar', '1 tsp baking powder', '1/2 tsp baking soda', '1/4 tsp salt', '1 cup buttermilk/milk', '1 large egg', '2 tbsp melted butter/oil', '1 tbsp vanilla extract (optional)']","['In a large mixing bowl, combine the flour, sugar, baking powder, baking soda, and salt. Mix well.', 'In a separate bowl, whisk together the buttermilk/milk, egg, melted butter (or oil), and vanilla extract (if using).', 'Add the wet ingredients to the dry ingredients, and gently mix until just combined.', 'Fold in the leftover rice into the pancake batter.', 'Heat a non-stick pan over medium heat. Lightly grease it with butter or oil.', 'Cook the pancakes for about 2-3 minutes on each side, or until they are golden brown and slightly puffed up.', 'Serve the leftover rice pancakes warm with your favorite toppings, such as maple syrup, fresh fruits, honey, or a dollop of yoghurt.']"
Desi Style Masala-Cheese Hot Dog,American,https://c.ndtvimg.com/2023-04/ekp1vv4g_hot-dog_625x300_12_April_23.jpg,"['4 tsp oil', '2 boiled potatoes', '1 tsp butter', '1 onion , chopped', '1 Tomato', '1 capsicum , chopped', 'coriander , chopped', '1/2 cup diced paneer', '1 tsp garlic paste', '1 tsp coriander powder', '1 tsp garam masala', '1 tsp red chili powder', 'Salt to taste', '2 hot dog buns', 'Tomato sauce', 'Mint chutney', 'Mustard sauce', 'Mayonnaise', '2 cheese slices', 'Tomato sauce', 'Salt as per taste']","[""Let's begin with preparing the filling."", 'Heat oil in a pan add, onion and garlic paste. Let the onions turn golden brown.', 'Now add tomatoes, and capsicum. Let it cook for 3-4 minutes.', 'Add the mashed potatoes in it and add red chili powder, garam masala, and salt. Mix it well.', 'Cook the filling mixture for 5 minutes.', 'Take it off the pan and add diced paneer and fresh coriander.', 'In a hot pan, put butter and toss the hot dog buns in it.', 'Take it off the pan and spread the sauces-mint chutney, mustard sauce, mayonnaise, and tomato ketchup.', 'Add the filling in the hot dog buns along with a slice of cheese and serve them hot.']"
Healthy Banana Pancakes,American,https://c.ndtvimg.com/2019-03/dehgn798_oats-pancakes_625x300_07_March_19.jpg,"['2 Ripe Banana', '2 Eggs', '1 tsp vanilla extract', '1/2 cups quick-cook oats', '1 tsp cinnamon']","['In a big basin, mash bananas until they are smooth. After thoroughly combining the eggs, vanilla, and vanilla bean, add the oats and cinnamon.', 'Add a portion of the pancake batter by scooping it into a medium-sized skillet. To create an even layer, emulsify. As bubbles begin to appear on the top of the batter, cook for another two to three minutes. Around 1-2 minutes after flipping, grill the other side until it turns golden brown.', 'The pancakes can be garnished with your favourite toppings! We used maple syrup, chopped walnuts, and sliced bananas.', '*Note: For 4 thicker pancakes, use 12 cups (65) of batter; for 6 smaller pancakes, use 13 cups (40 g).', 'Enjoy!']"
3 Ingredient Banana Pancake,American,https://c.ndtvimg.com/2021-04/tg682u28_pancakes_625x300_17_April_21.jpg,"['2 Bananas', '2 Eggs', '2 tbsp oats/flour']","['Blend bananas, eggs and oats to a smooth batter.', 'Heat a pan, pour 2 scoops of batter.', 'Flip the pancake so that it cooks evenly from both sides.', 'Serve it with maple syrup and butter!']"
Roast Turkey With Cranberry Sauce,American,https://c.ndtvimg.com/2018-12/9c7qbvm_turkey_625x300_13_December_18.jpg,"['1 whole turkey', '100 gms butter', '100 gms onion, chopped', '100 gms celery, chopped', '10 gms crumbled sage and thyme', 'to taste salt and pepper', '10 gms garlic minced', 'balsamic vinegar', '20 gms sugar', '150 gms cranberry']","['In skillet, melt butter over medium heat. Stir in onions, celery, sage, thyme and pepper; cook, stirring occasionally, for 10 minutes or until browned.', 'Remove giblets and neck from the turkey cavity, keep for gravy. Rinse turkey inside and out with running water.', 'Stir together butter, sage, salt and pepper; rub over turkey, inside and out. Loosely pack stuffing into neck and body cavities, fold over and skewer neck flap closed over stuffing. Tie legs together.', 'Place turkey, breast side up on rack in roasting pan.', 'Cover with foil and roast in 325°F oven for about 1.5 hours, basting with pan juices every 30 minutes.', 'Remove foil and continue to roast or 1 3/4 hours, basting every half hour, or until instant-meat thermometer inserted into thickest part of thigh reads 185°F. Keep it under lamp for carving.', 'Meanwhile, in saucepan, bring chicken stock turkey neck, giblets, onion and bay leaf to boil, reduce heat and simmer,.', 'While cooked turkey rests, skim excess fat from roasting pan whisk in flour until well combined.', 'Gradually whisk in reserved giblet stock; Bring to boil and cook, Season to taste with salt and pepper. Strain and serve alongside turkey.', 'For cranberry sauce in small saucepan, heat oil over medium heat; stir in onion and garlic and cook, stirring occasionally, for 5 minutes or until softened.', 'Put balsamic vinegar; boil for 5 minutes or until reduced now mix together cranberries, sugar, salt and pepper.', 'Mix into onion mixture; bring to boil and cook, until cranberries are tender and sauce is thick.']"
Escabeche,American,https://c.ndtvimg.com/2018-11/us1p2tdo_escabeche_625x300_02_November_18.jpg,"['30 gms babycorn', '30 gms carrot', '20 gms water chestnuts', '15 ml coconut milk', '20 gms pineapple', '0.5 gms negi (welsh onion)', '0.5 gms red quinoa', '2 gms himalayan salt', '0.5 gms black pepper', '20 gms sweet corn', '30 coriander green', '40 gms lemon', '0.5 gms micro green']","['Wash and cut baby corn, carrot, water chestnut and pineapple in cubes.', 'Cut Negi (green onion) in small rings.', 'Toast red quinoa with salt to get the the puff quinoa.', 'Blend coconut milk,green coriander stem, lemon juice and salt.', 'Toss baby corn, carrot, water chestnut, pineapple in blended coconut milk dressing.', 'Put the mixture of vegetable in a chilled plate and then garnish it with Negi and micro greens.']"
Jalapeno Cheese Fingers,American,https://c.ndtvimg.com/f9tjhjlg_cheese-fingers_625x300_31_August_18.jpg,"['1 Cup Yellow cornmeal', '1 tsp Sugar', '1/2 tsp Baking soda', '1/2 tsp Salt', '1 cup Buttermilk (well-shaken)', '1 Egg', '1/4 pound Cheddar (extra sharp), grated', '1/4 cup Scallion (white and pale green parts only), finely chopped', '1-2 tbsp Pickled jalapenos (drained), finely chopped', '1/4 cup Unsalted butter, melted', 'Special equipment:', '2 Well-seasoned cast-iron corn-stick pans', '(Each with 7 (5- by 1 1/2-inch) molds*, or a well-seasoned 9-inch cast-iron skillet)']","['Put oven rack in middle position and preheat oven to 218°C. Heat corn-stick pans in oven 10 minutes.', 'Whisk together cornmeal, sugar, baking soda, and salt in a large bowl.', 'Whisk together buttermilk and egg in another bowl, then add to cornmeal mixture along with cheddar, scallion, jalapeños (to taste), and 2 tablespoons butter, stirring until just combined.', 'Remove pans from oven and divide remaining 2 tablespoons butter among molds. Quickly divide batter among molds (about 3 tablespoons each)and bake until tops are golden and a wooden pick or skewer comes out clean, 12 to 15 minutes (15 to 20 minutes if using skillet).', 'Cool corn sticks in pans on a rack 3 to 5 minutes before removing from molds. Serve warm.']"
Shrimp & Cilantro Ceviche,American,https://c.ndtvimg.com/cerviche_625x300_1530013189355.jpg,"['80 Gram Prawns', '15 gram Gherkin', '15 Onion', '5 gram Cilantro', '15 gram Mix bell pepper', '15 ml Tiger milk', '25 gram Sweet corn', '2 gram Sea salt', '1 gram Black pepper', '25 ml Green lemon juice', '15 gram Cherry tomato', '2 gram Edible flower', 'For Tiger milk:', '1 tsp Coriander stems, chopped', '1/2 tsp Celery stalks', '1/4 tsp Garlic', '1/4 tsp Ginger', '1 tsp Red onion', '30 ml Lemon juice', '3-4 gram Sea salt', '2-3 gram Black pepper']","['Wash deshell and devein the prawns. Cut onions and bell peppers in to thin julienne.', 'Fine chop cilantro and gherkins. Cut the prawns in to small pieces.', 'Take a bowl mix corn with salt ,pepper and lemon juice.', 'Take another bowl, add prawns, onions, bell peppers, gherkins, cilantro, sea salt, pepper, lemon juice and tiger milk.', 'Place it in the center of the plate and on either side place tossed corn.', 'Garnish it with micro greens and edible flower.', 'Wash and clean the vegetables.', 'Blend all ingredients and it is ready to use.']"
Strawberry Quinoa Pancakes,American,https://i.ndtvimg.com/i/2018-02/pancakes_620x350_81518173553.jpg,"['1 Cup Quinoa', '1/2 cup Milk', '1 tsp Olive oil', '1 Egg (slightly beaten)', '1/2 tsp Baking powder', '1/2 tsp Orange essence', '2 tbsp Castor sugar', '2 tbsp Maple syrup', '7-8 Strawberries (to garnish)']","['Dry roast the Quinoa and let it cool. Rinse it in water thoroughly to take out the soapiness of the grain.', 'Blitz the washed quinoa with the milk and 1 ½ tablespoon sugar to a smooth batter consistency. Add the orange essence and the baking powder. Let it rest for 5 minutes.', 'Add the lightly beaten egg to this mixture.', 'Heat a non-stick fry pan with some olive oil and pour the mixture. Flip it once it turns slightly brown at the bottom.', 'Make 3 to 4 pancakes and keep aside. Arrange layers of pancakes with cut strawberries in between to form a layered cake.', 'Drizzle maple syrup on top and enjoy your valentines!']"
